ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008888,F,N,Y,1,75838.24,Commercial associate,Secondary / secondary special,Widow,House / apartment,-22057,-3101,1,0,0,0,,2.0
5008889,F,N,Y,0,81755.62,Working,Secondary / secondary special,Married,House / apartment,-17070,-4589,1,0,1,0,Medicine staff,2.0
5008890,M,Y,Y,0,132826.69,Pensioner,Incomplete higher,Married,With parents,-13124,365243,1,0,1,0,,2.0
5008891,F,N,Y,0,156450.93,Pensioner,Higher education,Single / not married,House / apartment,-22482,365243,1,0,0,1,,1.0
5008892,M,Y,Y,0,168537.21,Commercial associate,Secondary / secondary special,Married,House / apartment,-18209,-888,1,0,0,0,Laborers,2.0
5008893,F,N,Y,0,171746.78,State servant,Secondary / secondary special,Single / not married,House / apartment,-18093,-543,1,0,1,0,,1.0
5008894,F,N,Y,2,100784.35,Pensioner,Secondary / secondary special,Married,House / apartment,-16141,365243,1,1,0,0,,4.0
5008895,M,Y,Y,0,249996.31,Working,Secondary / secondary special,Married,Municipal apartment,-12121,-3024,1,0,1,0,Laborers,2.0
5008896,M,N,Y,0,118052.8,Pensioner,Secondary / secondary special,Married,House / apartment,-12649,365243,1,0,0,0,,2.0
5008897,F,N,N,0,184439.15,State servant,Secondary / secondary special,Married,House / apartment,-8849,-208,1,0,0,0,Laborers,2.0
5008898,M,N,Y,0,135662.07,Working,Incomplete higher,Single / not married,House / apartment,-11577,-4748,1,0,0,0,Drivers,1.0
5008899,F,Y,Y,0,177692.64,State servant,Incomplete higher,Single / not married,House / apartment,-12175,-371,1,0,0,0,IT staff,1.0
5008900,F,N,Y,0,132301.14,Working,Secondary / secondary special,Married,House / apartment,-8334,-1340,1,0,1,0,Laborers,2.0
5008901,F,Y,N,2,179300.32,Commercial associate,Secondary / secondary special,Separated,House / apartment,-9239,-2556,1,0,0,0,,3.0
5008902,F,N,N,0,146723.56,Pensioner,Secondary / secondary special,Married,House / apartment,-12043,365243,1,0,0,0,,2.0
5008903,F,Y,Y,0,221221.62,Pensioner,Higher education,Married,House / apartment,-19178,365243,1,0,1,1,,2.0
5008904,F,N,Y,0,97797.81,Commercial associate,Secondary / secondary special,Married,House / apartment,-10535,-3652,1,0,0,0,Core staff,2.0
5008905,F,Y,Y,0,60782.33,Commercial associate,Secondary / secondary special,Married,House / apartment,-16454,-3278,1,0,0,0,Laborers,2.0
5008906,F,N,N,0,90519.56,Commercial associate,Secondary / secondary special,Married,House / apartment,-16209,-4005,1,0,1,0,,2.0
5008907,F,Y,N,0,251314.19,Pensioner,Secondary / secondary special,Married,House / apartment,-21927,365243,1,0,1,0,,2.0
5008908,M,N,Y,0,136314.58,Working,Higher education,Married,House / apartment,-17984,-5748,1,1,1,0,Sales staff,2.0
5008909,F,N,N,0,154203.92,Pensioner,Incomplete higher,Single / not married,House / apartment,-23381,365243,1,0,0,0,,1.0
5008910,F,N,N,0,86958.1,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-18316,365243,1,0,0,0,,1.0
5008911,M,N,Y,0,152173.54,Working,Higher education,Married,House / apartment,-7752,-1095,1,0,0,0,,2.0
5008912,F,N,Y,0,88308.68,Commercial associate,Secondary / secondary special,Married,House / apartment,-13993,-1974,1,0,0,0,,2.0
5008913,F,Y,Y,0,95045.34,Working,Secondary / secondary special,Married,House / apartment,-19560,-1547,1,0,0,0,Secretaries,2.0
5008914,F,Y,Y,0,120422.08,Commercial associate,Higher education,Single / not married,House / apartment,-15634,-4661,1,0,0,0,High skill tech staff,1.0
5008915,F,N,N,0,183973.8,Working,Secondary / secondary special,Married,House / apartment,-14657,-2935,1,1,0,0,,2.0
5008916,M,Y,Y,0,194060.22,Working,Secondary / secondary special,Married,House / apartment,-19078,-4305,1,0,1,0,Sales staff,2.0
5008917,M,N,N,0,196717.2,Working,Higher education,Separated,House / apartment,-12314,-220,1,1,0,1,Core staff,1.0
5008918,F,N,N,0,66566.58,Pensioner,Secondary / secondary special,Married,House / apartment,-23241,365243,1,0,0,0,,2.0
5008919,M,Y,Y,0,146776.71,Working,Secondary / secondary special,Married,House / apartment,-14548,-876,1,1,0,0,Laborers,2.0
5008920,M,Y,Y,0,133466.94,Working,Secondary / secondary special,Married,House / apartment,-18371,-1578,1,1,0,0,,2.0
5008921,F,Y,N,2,68453.42,Pensioner,Secondary / secondary special,Married,House / apartment,-24527,365243,1,1,1,0,,4.0
5008922,M,N,N,1,148448.28,Working,Secondary / secondary special,Separated,House / apartment,-21076,-4096,1,0,1,0,Managers,2.0
5008923,F,Y,N,1,129934.58,State servant,Secondary / secondary special,Married,House / apartment,-16625,-70,1,0,0,0,Drivers,3.0
5008924,M,N,Y,1,190186.95,Working,Secondary / secondary special,Married,House / apartment,-22371,-5575,1,0,0,0,Laborers,3.0
5008925,M,N,Y,2,153372.29,Pensioner,Incomplete higher,Married,House / apartment,-17130,365243,1,0,1,0,,4.0
5008926,F,N,Y,1,111897.63,Commercial associate,Higher education,Married,House / apartment,-15048,-7493,1,0,1,0,High skill tech staff,3.0
5008927,F,Y,N,0,233954.33,Working,Secondary / secondary special,Married,House / apartment,-22618,-883,1,1,1,0,,2.0
5008928,F,Y,Y,0,48503.11,Working,Higher education,Married,House / apartment,-7781,-21,1,1,0,0,,2.0
5008929,F,Y,N,0,142609.79,State servant,Secondary / secondary special,Married,With parents,-14448,-3104,1,1,0,0,Security staff,2.0
5008930,M,N,Y,0,60984.47,Commercial associate,Higher education,Married,House / apartment,-13318,-2510,1,1,1,0,Laborers,2.0
5008931,M,N,N,3,93330.61,Working,Higher education,Married,House / apartment,-19824,-1823,1,0,0,0,Accountants,5.0
5008932,F,N,Y,0,191454.77,Working,Secondary / secondary special,Married,With parents,-7525,-730,1,0,1,0,,2.0
5008933,F,N,Y,1,77878.19,Working,Secondary / secondary special,Widow,House / apartment,-18891,-1691,1,0,0,0,Laborers,2.0
5008934,F,N,Y,0,72268.32,Pensioner,Higher education,Married,House / apartment,-13377,365243,1,0,0,0,,2.0
5008935,F,Y,Y,0,484548.35,State servant,Secondary / secondary special,Separated,House / apartment,-9021,-598,1,1,0,0,Cooking staff,1.0
5008936,F,N,Y,0,74634.3,Pensioner,Secondary / secondary special,Married,House / apartment,-24492,365243,1,1,1,0,,2.0
5008937,F,N,Y,0,336132.41,Working,Secondary / secondary special,Single / not married,House / apartment,-11025,-3351,1,0,0,0,High skill tech staff,1.0
5008938,M,N,Y,0,135117.35,Working,Secondary / secondary special,Married,House / apartment,-13425,-4219,1,1,1,0,Medicine staff,2.0
5008939,F,N,Y,1,113276.32,State servant,Secondary / secondary special,Married,House / apartment,-10934,-4017,1,0,1,0,Laborers,3.0
5008940,F,N,N,1,195515.16,Commercial associate,Secondary / secondary special,Married,House / apartment,-18911,-3016,1,0,0,0,Medicine staff,3.0
5008941,M,Y,Y,1,287304.25,Pensioner,Secondary / secondary special,Married,House / apartment,-21024,365243,1,1,0,0,,3.0
5008942,F,Y,Y,0,83030.73,Working,Secondary / secondary special,Single / not married,House / apartment,-22393,-46,1,0,0,0,Core staff,1.0
5008943,M,Y,N,1,114105.09,Commercial associate,Secondary / secondary special,Married,House / apartment,-12757,-2951,1,0,1,0,Laborers,3.0
5008944,M,N,Y,0,224905.34,Working,Lower secondary,Married,House / apartment,-16501,-126,1,0,0,0,Drivers,2.0
5008945,F,N,N,0,170075.4,State servant,Higher education,Separated,House / apartment,-18933,-832,1,0,0,0,,1.0
5008946,F,N,Y,1,255495.2,Working,Secondary / secondary special,Married,House / apartment,-18341,-320,1,0,0,0,Core staff,3.0
5008947,F,Y,Y,0,190528.29,Pensioner,Higher education,Married,House / apartment,-19858,365243,1,0,0,0,,2.0
5008948,F,Y,Y,0,363709.96,Working,Higher education,Married,House / apartment,-20799,-7605,1,1,0,0,Managers,2.0
5008949,F,N,Y,0,161021.68,Commercial associate,Higher education,Married,House / apartment,-9013,-833,1,1,0,0,Cooking staff,2.0
5008950,F,N,Y,1,164539.44,Working,Higher education,Single / not married,House / apartment,-10255,-124,1,0,0,0,Laborers,2.0
5008951,F,N,Y,0,172967.79,Working,Higher education,Married,House / apartment,-20179,-6548,1,0,0,1,,2.0
5008952,F,N,Y,0,137139.72,Working,Secondary / secondary special,Married,House / apartment,-15662,-2056,1,0,0,0,,2.0
5008953,F,Y,Y,0,225042.28,Commercial associate,Secondary / secondary special,Married,With parents,-14791,-80,1,0,1,0,,2.0
5008954,M,N,Y,1,165797.2,Working,Secondary / secondary special,Married,House / apartment,-15289,-3927,1,0,0,0,,3.0
5008955,F,N,Y,1,218401.42,Working,Secondary / secondary special,Married,House / apartment,-13827,-362,1,0,1,0,Private service staff,3.0
5008956,F,N,Y,0,236156.48,Working,Lower secondary,Married,House / apartment,-17667,-3553,1,0,0,0,,2.0
5008957,F,N,Y,0,182449.25,Working,Secondary / secondary special,Married,House / apartment,-12973,-2023,1,0,0,0,Cooking staff,2.0
5008958,M,N,Y,0,189256.43,Working,Incomplete higher,Single / not married,With parents,-18469,-427,1,1,1,0,Cooking staff,1.0
5008959,F,N,Y,0,88861.58,Working,Higher education,Married,House / apartment,-10857,-3060,1,0,0,0,Sales staff,2.0
5008960,M,Y,Y,1,111839.85,Working,Secondary / secondary special,Married,Rented apartment,-20588,-1328,1,1,0,0,Drivers,3.0
5008961,M,Y,Y,0,224513.64,Working,Secondary / secondary special,Married,Rented apartment,-21008,-2227,1,0,0,0,Private service staff,2.0
5008962,F,N,Y,0,300083.36,Pensioner,Secondary / secondary special,Separated,House / apartment,-17447,365243,1,0,0,0,,1.0
5008963,M,Y,Y,1,55814.27,Working,Secondary / secondary special,Married,House / apartment,-13779,-4462,1,0,0,0,Medicine staff,3.0
5008964,F,N,Y,0,110864.99,Commercial associate,Higher education,Widow,House / apartment,-7557,-660,1,1,0,0,Medicine staff,1.0
5008965,F,N,Y,1,149016.2,Working,Incomplete higher,Widow,House / apartment,-9435,-998,1,1,0,0,High skill tech staff,2.0
5008966,F,N,Y,1,94879.48,State servant,Secondary / secondary special,Single / not married,House / apartment,-8702,-1826,1,0,0,0,High skill tech staff,2.0
5008967,F,N,Y,1,97610.48,Working,Secondary / secondary special,Married,House / apartment,-7483,-730,1,0,1,1,Medicine staff,3.0
5008968,F,N,Y,0,186737.64,Pensioner,Secondary / secondary special,Married,House / apartment,-19966,365243,1,0,0,0,,2.0
5008969,M,N,Y,0,324710.07,Pensioner,Secondary / secondary special,Married,House / apartment,-24066,365243,1,1,0,0,,2.0
5008970,F,N,N,3,53321.14,Working,Higher education,Civil marriage,Municipal apartment,-7500,-730,1,0,0,0,,5.0
5008971,F,Y,N,0,135234.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9280,-1178,1,0,0,1,Core staff,1.0
5008972,F,N,Y,0,185654.03,Pensioner,Secondary / secondary special,Widow,House / apartment,-22394,365243,1,0,0,0,,1.0
5008973,F,N,Y,0,217533.25,Working,Secondary / secondary special,Married,House / apartment,-19375,-655,1,0,0,0,Laborers,2.0
5008974,M,N,Y,0,172743.6,Working,Secondary / secondary special,Married,House / apartment,-14400,-596,1,0,0,0,Accountants,2.0
5008975,F,N,N,2,355294.14,Pensioner,Secondary / secondary special,Married,House / apartment,-24710,365243,1,0,1,0,,4.0
5008976,F,N,Y,0,149410.57,Working,Secondary / secondary special,Married,House / apartment,-17361,-444,1,0,0,1,Drivers,2.0
5008977,F,Y,N,0,283791.87,Working,Secondary / secondary special,Married,House / apartment,-19044,-1766,1,0,1,0,Laborers,2.0
5008978,F,N,Y,1,106597.59,Pensioner,Higher education,Married,House / apartment,-18756,365243,1,0,0,0,,3.0
5008979,F,N,Y,2,151598.59,Pensioner,Secondary / secondary special,Separated,House / apartment,-11209,365243,1,0,0,0,,3.0
5008980,M,N,Y,0,80309.44,Working,Secondary / secondary special,Married,House / apartment,-15862,-2684,1,1,1,0,High skill tech staff,2.0
5008981,F,N,Y,0,231059.89,Commercial associate,Incomplete higher,Civil marriage,House / apartment,-11099,-484,1,0,1,0,Managers,2.0
5008982,M,N,Y,0,138659.78,Working,Higher education,Civil marriage,Municipal apartment,-16236,-3002,1,1,0,0,,2.0
5008983,F,N,Y,0,176118.18,Working,Secondary / secondary special,Married,House / apartment,-7844,-976,1,0,0,0,Laborers,2.0
5008984,F,N,Y,1,125909.12,Working,Higher education,Married,House / apartment,-14001,-7305,1,0,1,0,Laborers,3.0
5008985,F,N,N,0,197444.78,Working,Higher education,Married,House / apartment,-13830,-6939,1,0,0,0,,2.0
5008986,M,N,Y,0,179641.23,Working,Secondary / secondary special,Married,House / apartment,-12417,-3511,1,0,1,0,Laborers,2.0
5008987,M,Y,Y,0,89560.91,Working,Higher education,Married,With parents,-8694,-919,1,0,1,0,Drivers,2.0
5008988,F,N,Y,0,92190.86,Working,Secondary / secondary special,Married,House / apartment,-20821,-6065,1,0,1,0,Core staff,2.0
5008989,F,Y,N,0,145236.05,Commercial associate,Higher education,Widow,House / apartment,-14676,-8035,1,0,0,0,Managers,1.0
5008990,M,Y,N,0,204799.55,Commercial associate,Secondary / secondary special,Married,House / apartment,-21575,-1359,1,0,1,0,Drivers,2.0
5008991,F,N,Y,1,373789.39,Pensioner,Higher education,Single / not married,House / apartment,-21956,365243,1,0,0,0,,2.0
5008992,F,N,Y,0,171355.47,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-11049,-13,1,0,0,0,Laborers,2.0
5008993,F,N,Y,2,243717.66,Pensioner,Secondary / secondary special,Married,House / apartment,-14691,365243,1,1,0,0,,4.0
5008994,F,Y,Y,0,65747.34,Pensioner,Secondary / secondary special,Married,House / apartment,-19945,365243,1,0,0,0,,2.0
5008995,M,Y,Y,0,402913.8,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-16062,365243,1,1,0,0,,1.0
5008996,M,Y,N,0,199355.13,Working,Secondary / secondary special,Married,House / apartment,-22296,-1521,1,0,1,0,,2.0
5008997,F,Y,Y,0,143659.0,Working,Secondary / secondary special,Married,House / apartment,-17325,-2059,1,0,0,0,Sales staff,2.0
5008998,F,Y,Y,0,135625.4,Working,Secondary / secondary special,Separated,House / apartment,-18342,-820,1,0,1,0,Sales staff,1.0
5008999,F,N,Y,0,84660.13,Working,Secondary / secondary special,Married,House / apartment,-21103,-228,1,1,0,0,High skill tech staff,2.0
5009000,M,N,N,1,97670.67,Working,Secondary / secondary special,Married,House / apartment,-9447,-2556,1,0,1,0,Managers,3.0
5009001,M,Y,Y,1,382780.81,Working,Secondary / secondary special,Married,House / apartment,-17548,-1189,1,0,0,0,,3.0
5009002,M,N,Y,0,89814.15,State servant,Secondary / secondary special,Married,House / apartment,-8802,-2191,1,0,0,0,Core staff,2.0
5009003,M,N,Y,0,88953.24,Working,Secondary / secondary special,Separated,House / apartment,-11872,-2301,1,1,1,0,Laborers,1.0
5009004,F,Y,Y,1,103661.88,Working,Secondary / secondary special,Single / not married,House / apartment,-11031,-1734,1,0,1,0,High skill tech staff,2.0
5009005,F,N,N,0,80895.19,Working,Secondary / secondary special,Married,House / apartment,-17246,-430,1,0,0,0,Core staff,2.0
5009006,F,Y,Y,3,148398.02,Pensioner,Secondary / secondary special,Widow,House / apartment,-22100,365243,1,0,0,0,,4.0
5009007,M,Y,N,1,253838.94,Working,Secondary / secondary special,Single / not married,House / apartment,-9633,-851,1,0,0,0,,2.0
5009008,F,N,Y,0,108526.95,Working,Secondary / secondary special,Married,House / apartment,-20776,-3747,1,0,0,0,Sales staff,2.0
5009009,F,Y,Y,0,74112.38,State servant,Secondary / secondary special,Married,Municipal apartment,-9813,-470,1,0,1,0,,2.0
5009010,F,N,N,0,170404.56,Pensioner,Secondary / secondary special,Married,With parents,-10630,365243,1,0,1,0,,2.0
5009011,F,N,Y,1,143216.51,Commercial associate,Secondary / secondary special,Married,House / apartment,-23380,-1271,1,0,0,0,Laborers,3.0
5009012,F,N,Y,0,243132.61,State servant,Secondary / secondary special,Married,House / apartment,-7475,-730,1,0,0,1,Sales staff,2.0
5009013,F,N,Y,1,117330.01,Working,Higher education,Married,House / apartment,-10761,-2795,1,0,0,0,Core staff,3.0
5009014,F,N,Y,0,129304.01,Commercial associate,Higher education,Married,House / apartment,-11084,-901,1,0,0,0,High skill tech staff,2.0
