ID,MONTHS_BALANCE,STATUS
5014297,-29,X
5014297,-26,C
5014297,-25,X
5014297,-24,C
5014297,-23,C
5014297,-22,0
5014297,-18,C
5014297,-17,X
5014297,-16,X
5014297,-12,C
5014297,-11,0
5014297,-8,C
5014297,-7,C
5014297,-5,X
5014297,-2,C
5014297,-1,C
5014297,0,0
5009087,-60,0
5009087,-58,X
5009087,-57,C
5009087,-55,X
5009087,-54,C
5009087,-53,C
5009087,-52,C
5009087,-51,C
5009087,-50,0
5009087,-48,C
5009087,-47,X
5009087,-46,C
5009087,-45,0
5009087,-44,C
5009087,-43,0
5009087,-42,C
5009087,-41,X
5009087,-40,X
5009087,-39,C
5009087,-38,C
5009087,-36,C
5009087,-35,X
5009087,-34,X
5009087,-33,0
5009087,-31,C
5009087,-30,0
5009087,-29,C
5009087,-27,X
5009087,-26,C
5009087,-25,X
5009087,-24,0
5009087,-23,C
5009087,-21,C
5009087,-19,C
5009087,-18,0
5009087,-17,X
5009087,-16,0
5009087,-13,C
5009087,-11,0
5009087,-10,0
5009087,-9,C
5009087,-8,C
5009087,-4,C
5009087,-2,C
5009087,-1,0
5009087,0,0
5009878,-59,C
5009878,-58,0
5009878,-56,0
5009878,-55,0
5009878,-54,0
5009878,-51,0
5009878,-46,C
5009878,-45,0
5009878,-44,X
5009878,-43,0
5009878,-42,C
5009878,-38,0
5009878,-37,C
5009878,-35,C
5009878,-34,0
5009878,-33,C
5009878,-31,C
5009878,-29,0
5009878,-27,0
5009878,-26,0
5009878,-25,C
5009878,-24,C
5009878,-22,C
5009878,-19,0
5009878,-14,X
5009878,-13,X
5009878,-12,X
5009878,-11,C
5009878,-10,0
5009878,-9,C
5009878,-7,0
5009878,-5,C
5009878,-4,0
5009878,-1,C
5009878,0,C
5011628,-59,C
5011628,-58,C
5011628,-57,C
5011628,-56,0
5011628,-55,C
5011628,-54,0
5011628,-53,0
5011628,-51,0
5011628,-49,0
5011628,-48,0
5011628,-47,0
5011628,-46,0
5011628,-45,C
5011628,-44,C
5011628,-41,C
5011628,-40,C
5011628,-39,0
5011628,-38,0
5011628,-37,0
5011628,-35,C
5011628,-34,0
5011628,-33,X
5011628,-32,X
5011628,-31,C
5011628,-30,C
5011628,-29,0
5011628,-28,C
5011628,-27,X
5011628,-26,0
5011628,-25,X
5011628,-24,C
5011628,-23,X
5011628,-22,C
5011628,-20,0
5011628,-19,X
5011628,-18,0
5011628,-17,C
5011628,-15,C
5011628,-14,C
5011628,-12,C
5011628,-11,0
5011628,-10,0
5011628,-9,C
5011628,-8,0
5011628,-6,0
5011628,-5,0
5011628,-4,0
5011628,-3,C
5011628,-2,0
5011628,-1,0
5011628,0,C
5014479,-60,X
5014479,-58,0
5014479,-56,0
5014479,-54,X
5014479,-53,0
5014479,-51,C
5014479,-49,X
5014479,-48,0
5014479,-47,0
5014479,-46,C
5014479,-42,C
5014479,-41,C
5014479,-40,C
5014479,-37,0
5014479,-36,X
5014479,-35,C
5014479,-34,C
5014479,-32,C
5014479,-31,0
5014479,-30,X
5014479,-28,C
5014479,-27,C
5014479,-25,0
5014479,-24,C
5014479,-23,C
5014479,-21,C
5014479,-17,0
5014479,-16,0
5014479,-14,0
5014479,-13,C
5014479,-12,C
5014479,-11,C
5014479,-10,C
5014479,-9,0
5014479,-6,X
5014479,-5,C
5014479,-4,C
5014479,-3,C
5014479,-2,0
5014479,0,0
5011341,-57,C
5011341,-55,C
5011341,-50,C
5011341,-45,C
5011341,-42,C
5011341,-38,C
5011341,-36,C
5011341,-33,X
5011341,-32,X
5011341,-30,C
5011341,-26,C
5011341,-24,C
5011341,-21,X
5011341,-14,C
5011341,-12,C
5011341,-10,0
5011341,-9,C
5011341,-5,C
5014060,-60,C
5014060,-57,C
5014060,-56,C
5014060,-51,X
5014060,-48,C
5014060,-47,0
5014060,-45,0
5014060,-44,C
5014060,-43,0
5014060,-40,0
5014060,-39,0
5014060,-37,0
5014060,-36,C
5014060,-34,C
5014060,-32,C
5014060,-31,0
5014060,-29,C
5014060,-28,C
5014060,-23,X
5014060,-22,0
5014060,-21,0
5014060,-18,0
5014060,-17,0
5014060,-15,X
5014060,-11,C
5014060,-8,C
5014060,-5,C
5014060,-4,X
5014060,-3,0
5014060,-2,0
5014060,-1,X
5014060,0,C
5011715,-59,0
5011715,-57,0
5011715,-55,0
5011715,-54,X
5011715,-51,0
5011715,-50,C
5011715,-49,C
5011715,-48,C
5011715,-47,0
5011715,-46,0
5011715,-44,0
5011715,-43,X
5011715,-42,0
5011715,-40,C
5011715,-39,0
5011715,-38,0
5011715,-37,C
5011715,-36,X
5011715,-35,0
5011715,-33,C
5011715,-32,C
5011715,-31,0
5011715,-30,0
5011715,-29,C
5011715,-28,C
5011715,-27,C
5011715,-26,X
5011715,-25,0
5011715,-23,0
5011715,-22,0
5011715,-20,C
5011715,-19,X
5011715,-18,0
5011715,-17,C
5011715,-16,C
5011715,-15,X
5011715,-14,0
5011715,-13,0
5011715,-12,C
5011715,-11,0
5011715,-10,0
5011715,-9,C
5011715,-7,C
5011715,-6,C
5011715,-5,0
5011715,-4,C
5011715,-3,0
5011715,-2,X
5011715,-1,0
5011715,0,C
5013481,-59,0
5013481,-58,0
5013481,-56,0
5013481,-55,X
5013481,-54,C
5013481,-52,0
5013481,-49,0
5013481,-48,0
5013481,-45,0
5013481,-44,0
5013481,-38,0
5013481,-37,X
5013481,-36,C
5013481,-33,0
5013481,-28,C
5013481,-27,C
5013481,-26,C
5013481,-23,C
5013481,-20,C
5013481,-17,0
5013481,-16,C
5013481,-14,C
5013481,-13,C
5013481,-3,0
5011155,-57,0
5011155,-54,0
5011155,-53,0
5011155,-48,X
5011155,-44,X
5011155,-41,C
5011155,-36,X
5011155,-32,C
5011155,-31,C
5011155,-30,0
5011155,-29,C
5011155,-18,C
5011155,-15,0
5011155,-11,C
5011155,-10,X
5011155,-9,0
5011155,-6,0
5011155,-5,X
5011155,-4,C
5011155,-3,X
5011155,-2,C
5011155,-1,0
5011155,0,0
5009208,-60,0
5009208,-49,0
5009208,-39,C
5009208,-36,C
5009208,-34,C
5009208,-30,C
5009208,-4,X
5009208,-3,C
5008916,-52,C
5008916,-48,0
5008916,-45,0
5008916,-43,C
5008916,-34,C
5008916,-28,0
5008916,-27,C
5008916,-26,0
5008916,-20,X
5008916,-19,0
5008916,-18,0
5008916,-17,0
5008916,-16,0
5008916,-14,0
5008916,-8,X
5008916,-4,X
5014193,-32,0
5014193,-26,0
5014193,-23,0
5014193,-7,C
5014193,-1,C
5012247,-43,C
5012247,-42,0
5012247,-35,0
5012247,-34,0
5012247,-27,C
5012247,-25,0
5014726,-60,C
5014726,-57,C
5014726,-52,0
5014726,-51,0
5014726,-49,0
5014726,-47,X
5014726,-45,C
5014726,-44,X
5014726,-42,0
5014726,-37,C
5014726,-35,0
5014726,-34,0
5014726,-32,C
5014726,-25,0
5014726,-23,0
5014726,-22,0
5014726,-20,0
5014726,-19,0
5014726,-15,X
5014726,-14,X
5014726,-13,C
5014726,-12,0
5014726,-11,0
5014726,-10,X
5014726,-9,C
5014726,-6,0
5014726,-5,C
5014726,-3,X
5014726,-2,C
5014726,-1,C
5014726,0,X
5013825,-59,C
5013825,-58,0
5013825,-56,C
5013825,-55,0
5013825,-54,X
5013825,-53,C
5013825,-52,C
5013825,-50,C
5013825,-48,0
5013825,-47,0
5013825,-46,C
5013825,-44,C
5013825,-43,0
5013825,-42,C
5013825,-37,0
5013825,-36,C
5013825,-35,X
5013825,-31,C
5013825,-30,0
5013825,-29,C
5013825,-27,0
5013825,-24,0
5013825,-23,0
5013825,-22,C
5013825,-21,C
5013825,-20,0
5013825,-17,C
5013825,-15,C
5013825,-13,C
5013825,-12,C
5013825,-11,C
5013825,-9,C
5013825,-8,C
5013825,-5,C
5013825,-4,0
5013825,-2,C
5013825,-1,X
5012801,-59,C
5012801,-49,C
5012801,-44,C
5012801,-42,0
5012801,-35,0
5012801,-18,0
5012801,-17,0
5012801,-12,C
5012801,0,X
5009751,-60,0
5009751,-33,C
5009751,-24,C
5009751,-15,C
5009751,-5,C
5014256,-60,0
5014256,-58,0
5014256,-54,C
5014256,-53,C
5014256,-52,C
5014256,-50,0
5014256,-47,C
5014256,-46,0
5014256,-35,X
5014256,-32,C
5014256,-31,C
5014256,-21,X
5014256,-20,X
5014256,-17,0
5014256,-13,0
5014256,-10,C
5014256,-5,0
5014256,-3,C
5010827,-60,C
5010827,-59,0
5010827,-58,0
5010827,-57,C
5010827,-56,C
5010827,-55,0
5010827,-52,0
5010827,-51,C
5010827,-49,0
5010827,-48,X
5010827,-46,C
5010827,-45,0
5010827,-44,C
5010827,-43,0
5010827,-42,0
5010827,-40,0
5010827,-39,C
5010827,-38,C
5010827,-35,0
5010827,-33,C
5010827,-32,C
5010827,-31,X
5010827,-30,C
5010827,-29,C
5010827,-28,0
5010827,-27,0
5010827,-26,0
5010827,-24,0
5010827,-23,C
5010827,-22,C
5010827,-20,0
5010827,-19,X
5010827,-18,C
5010827,-17,0
5010827,-16,C
5010827,-15,C
5010827,-14,C
5010827,-13,C
5010827,-11,X
5010827,-9,C
5010827,-8,C
5010827,-7,0
5010827,-6,0
5010827,-5,X
5010827,-3,C
5010827,-2,0
5010827,0,0
5013211,-60,0
5013211,-57,X
5013211,-55,C
5013211,-53,C
5013211,-48,X
5013211,-42,C
5013211,-40,C
5013211,-38,C
5013211,-30,0
5013211,-25,C
5013211,-24,X
5013211,-21,C
5013211,-17,C
5013211,-15,C
5013211,-10,0
5013211,-9,C
5013211,-7,0
5013211,0,0
5011950,-54,0
5011950,-46,0
5011950,-36,0
5011950,-22,C
5011950,-11,C
5011950,-7,C
5011950,-5,C
5011950,-4,0
5011950,-2,0
5014040,-60,0
5014040,-59,C
5014040,-57,0
5014040,-56,C
5014040,-55,X
5014040,-54,0
5014040,-53,C
5014040,-52,C
5014040,-51,C
5014040,-50,X
5014040,-48,C
5014040,-47,0
5014040,-45,X
5014040,-44,0
5014040,-43,C
5014040,-41,0
5014040,-40,C
5014040,-39,0
5014040,-38,0
5014040,-36,0
5014040,-35,C
5014040,-33,0
5014040,-32,0
5014040,-31,C
5014040,-30,0
5014040,-29,0
5014040,-28,C
5014040,-27,C
5014040,-26,C
5014040,-25,0
5014040,-24,C
5014040,-23,C
5014040,-21,0
5014040,-20,X
5014040,-19,C
5014040,-18,C
5014040,-17,X
5014040,-15,C
5014040,-14,0
5014040,-13,C
5014040,-12,X
5014040,-11,0
5014040,-10,X
5014040,-9,0
5014040,-8,0
5014040,-7,C
5014040,-6,0
5014040,-5,X
5014040,-4,C
5014040,-3,0
5014040,-2,C
5014040,0,C
5008956,-60,C
5008956,-59,C
5008956,-58,X
5008956,-56,C
5008956,-55,C
5008956,-53,0
5008956,-52,C
5008956,-47,0
5008956,-46,0
5008956,-42,C
5008956,-40,C
5008956,-39,C
5008956,-37,0
5008956,-33,X
5008956,-32,C
5008956,-31,0
5008956,-29,C
5008956,-28,C
5008956,-27,0
5008956,-25,0
5008956,-23,C
5008956,-19,C
5008956,-18,0
5008956,-17,C
5008956,-15,C
5008956,-8,C
5008956,-7,X
5008956,-4,C
5008956,-3,C
5008956,-2,C
5013684,-58,C
5013684,-57,0
5013684,-52,C
5013684,-46,X
5013684,-45,C
5013684,-44,C
5013684,-39,X
5013684,-37,X
5013684,-19,C
5013684,-10,C
5013684,-9,0
5013684,0,C
5011810,-60,C
5011810,-58,C
5011810,-57,C
5011810,-56,X
5011810,-55,C
5011810,-54,C
5011810,-53,0
5011810,-51,0
5011810,-50,C
5011810,-47,C
5011810,-46,C
5011810,-44,X
5011810,-39,C
5011810,-38,C
5011810,-37,C
5011810,-33,C
5011810,-32,0
5011810,-31,X
5011810,-27,0
5011810,-25,0
5011810,-19,0
5011810,-18,C
5011810,-14,C
5011810,-12,0
5011810,-11,C
5011810,-9,C
5011810,-7,X
5011810,-4,0
5011810,-1,X
5012213,-60,0
5012213,-59,0
5012213,-58,0
5012213,-57,0
5012213,-56,C
5012213,-55,0
5012213,-54,C
5012213,-53,X
5012213,-52,C
5012213,-51,C
5012213,-50,0
5012213,-49,0
5012213,-48,C
5012213,-47,C
5012213,-46,0
5012213,-45,C
5012213,-44,C
5012213,-43,0
5012213,-40,0
5012213,-39,0
5012213,-38,C
5012213,-37,0
5012213,-36,0
5012213,-35,C
5012213,-34,0
5012213,-33,C
5012213,-32,C
5012213,-31,C
5012213,-30,X
5012213,-29,C
5012213,-28,C
5012213,-27,X
5012213,-26,0
5012213,-25,0
5012213,-24,C
5012213,-23,X
5012213,-21,0
5012213,-20,C
5012213,-19,C
5012213,-18,0
5012213,-17,0
5012213,-16,0
5012213,-15,C
5012213,-13,0
5012213,-12,C
5012213,-11,X
5012213,-10,0
5012213,-9,C
5012213,-8,C
5012213,-7,0
5012213,-6,0
5012213,-5,C
5012213,-4,C
5012213,-2,0
5012213,-1,C
5012213,0,0
5010994,-56,C
5010994,-55,0
5010994,-54,X
5010994,-53,X
5010994,-50,X
5010994,-48,0
5010994,-47,0
5010994,-44,C
5010994,-43,0
5010994,-41,0
5010994,-39,C
5010994,-34,0
5010994,-32,C
5010994,-30,0
5010994,-29,X
5010994,-27,X
5010994,-25,C
5010994,-24,0
5010994,-23,C
5010994,-21,X
5010994,-20,C
5010994,-16,C
5010994,-15,C
5010994,-12,0
5010994,-9,0
5010994,-2,C
5010451,-56,0
5010451,-55,0
5010451,-53,0
5010451,-49,C
5010451,-48,0
5010451,-47,X
5010451,-46,0
5010451,-43,0
5010451,-41,0
5010451,-40,C
5010451,-39,X
5010451,-37,0
5010451,-36,C
5010451,-34,0
5010451,-33,X
5010451,-32,X
5010451,-30,C
5010451,-29,C
5010451,-28,C
5010451,-26,0
5010451,-25,0
5010451,-20,0
5010451,-17,C
5010451,-15,C
5010451,-14,C
5010451,-12,0
5010451,-10,0
5010451,-8,C
5010451,-7,X
5010451,-6,0
5010451,-4,X
5010451,-3,X
5010451,-2,0
5010451,-1,C
5011794,-60,0
5011794,-58,0
5011794,-56,C
5011794,-55,C
5011794,-53,0
5011794,-51,X
5011794,-50,0
5011794,-49,0
5011794,-48,C
5011794,-47,0
5011794,-46,C
5011794,-45,0
5011794,-44,C
5011794,-43,0
5011794,-39,0
5011794,-38,0
5011794,-35,X
5011794,-34,X
5011794,-32,0
5011794,-30,0
5011794,-29,X
5011794,-27,0
5011794,-26,C
5011794,-25,C
5011794,-24,0
5011794,-23,C
5011794,-21,C
5011794,-18,C
5011794,-17,0
5011794,-15,X
5011794,-14,C
5011794,-12,X
5011794,-11,C
5011794,-10,0
5011794,-9,C
5011794,-8,C
5011794,-5,C
5011794,-3,C
5011794,-2,C
5011794,-1,0
5011794,0,C
5012025,-60,X
5012025,-52,0
5012025,-50,0
5012025,-46,C
5012025,-41,0
5012025,-35,C
5012025,-33,0
5012025,-31,C
5012025,-25,X
5012025,-12,C
5012025,-2,C
5008854,-60,C
5008854,-59,C
5008854,-58,C
5008854,-57,0
5008854,-55,0
5008854,-54,0
5008854,-53,C
5008854,-52,0
5008854,-51,0
5008854,-50,C
5008854,-49,0
5008854,-48,C
5008854,-47,C
5008854,-46,0
5008854,-45,C
5008854,-44,C
5008854,-43,0
5008854,-42,0
5008854,-41,C
5008854,-40,0
5008854,-39,C
5008854,-38,C
5008854,-37,X
5008854,-36,C
5008854,-35,0
5008854,-34,0
5008854,-33,C
5008854,-31,0
5008854,-30,0
5008854,-29,0
5008854,-28,0
5008854,-26,X
5008854,-25,0
5008854,-24,0
5008854,-23,0
5008854,-22,0
5008854,-21,C
5008854,-20,X
5008854,-19,0
5008854,-18,X
5008854,-17,0
5008854,-15,C
5008854,-14,0
5008854,-13,0
5008854,-12,0
5008854,-11,0
5008854,-10,C
5008854,-9,0
5008854,-8,0
5008854,-7,0
5008854,-6,X
5008854,-5,C
5008854,-4,C
5008854,-3,C
5008854,-2,X
5008854,-1,C
5008854,0,C
5011026,-56,0
5011026,-51,C
5011026,-46,C
5011026,-45,0
5011026,-42,C
5011026,-40,C
5011026,-37,C
5011026,-29,0
5011026,-16,0
5011026,-15,C
5011026,-14,C
5011026,0,0
5014610,-59,0
5014610,-58,0
5014610,-57,0
5014610,-56,X
5014610,-54,C
5014610,-50,0
5014610,-46,0
5014610,-44,C
5014610,-40,C
5014610,-35,0
5014610,-29,C
5014610,-28,X
5014610,-24,0
5014610,-23,1
5014610,-22,X
5014610,-21,0
5014610,-19,0
5014610,-15,C
5014610,-14,0
5014610,-10,X
5014610,-9,C
5014610,-8,X
5014610,-7,C
5014610,-4,0
5014610,-2,X
5014610,0,X
5012355,-59,0
5012355,-58,C
5012355,-55,X
5012355,-54,C
5012355,-49,X
5012355,-47,0
5012355,-46,0
5012355,-45,0
5012355,-43,C
5012355,-42,C
5012355,-41,C
5012355,-40,C
5012355,-37,0
5012355,-36,C
5012355,-35,C
5012355,-33,X
5012355,-32,C
5012355,-31,C
5012355,-30,C
5012355,-28,0
5012355,-26,X
5012355,-22,X
5012355,-21,X
5012355,-18,C
5012355,-17,0
5012355,-16,0
5012355,-15,X
5012355,-14,X
5012355,-12,0
5012355,-11,0
5012355,-8,C
5012355,-7,C
5012355,-6,C
5012355,-4,C
5011764,-60,X
5011764,-58,C
5011764,-57,C
5011764,-54,0
5011764,-53,X
5011764,-52,C
5011764,-51,0
5011764,-50,0
5011764,-49,C
5011764,-48,C
5011764,-47,C
5011764,-46,0
5011764,-45,C
5011764,-44,X
5011764,-43,0
5011764,-42,0
5011764,-41,X
5011764,-40,0
5011764,-39,C
5011764,-38,C
5011764,-37,0
5011764,-36,0
5011764,-35,0
5011764,-33,0
5011764,-30,0
5011764,-29,X
5011764,-27,C
5011764,-26,0
5011764,-25,C
5011764,-24,C
5011764,-23,C
5011764,-22,X
5011764,-21,C
5011764,-20,0
5011764,-19,C
5011764,-17,C
5011764,-16,C
5011764,-15,0
5011764,-14,X
5011764,-13,0
5011764,-12,0
5011764,-11,0
5011764,-9,C
5011764,-8,0
5011764,-7,C
5011764,-6,C
5011764,-5,C
5011764,-4,C
5011764,-1,0
5011764,0,C
5010208,-59,C
5010208,-58,0
5010208,-57,C
5010208,-56,0
5010208,-55,X
5010208,-54,X
5010208,-53,X
5010208,-52,C
5010208,-51,X
5010208,-50,C
5010208,-49,C
5010208,-47,C
5010208,-46,C
5010208,-45,X
5010208,-44,0
5010208,-43,0
5010208,-42,0
5010208,-41,C
5010208,-39,C
5010208,-38,X
5010208,-37,0
5010208,-36,0
5010208,-35,0
5010208,-34,X
5010208,-33,0
5010208,-32,0
5010208,-31,0
5010208,-30,X
5010208,-28,0
5010208,-27,0
5010208,-26,0
5010208,-25,C
5010208,-24,X
5010208,-22,C
5010208,-21,C
5010208,-20,0
5010208,-19,0
5010208,-18,X
5010208,-16,C
5010208,-15,C
5010208,-13,C
5010208,-12,0
5010208,-11,C
5010208,-10,C
5010208,-9,C
5010208,-8,0
5010208,-7,X
5010208,-6,C
5010208,-5,X
5010208,-4,0
5010208,-3,0
5010208,-2,X
5010208,-1,X
5010208,0,C
5010801,-60,0
5010801,-59,C
5010801,-58,0
5010801,-57,0
5010801,-56,X
5010801,-55,C
5010801,-53,C
5010801,-51,C
5010801,-50,0
5010801,-49,0
5010801,-48,C
5010801,-47,0
5010801,-46,0
5010801,-45,C
5010801,-44,C
5010801,-43,C
5010801,-42,0
5010801,-41,0
5010801,-40,0
5010801,-39,C
5010801,-36,0
5010801,-35,C
5010801,-34,X
5010801,-33,C
5010801,-32,0
5010801,-31,0
5010801,-30,C
5010801,-29,C
5010801,-27,0
5010801,-26,C
5010801,-25,0
5010801,-24,0
5010801,-21,0
5010801,-20,C
5010801,-18,C
5010801,-17,0
5010801,-16,0
5010801,-15,0
5010801,-14,0
5010801,-13,C
5010801,-12,C
5010801,-11,C
5010801,-10,0
5010801,-8,C
5010801,-7,X
5010801,-6,0
5010801,-5,C
5010801,-3,0
5010801,0,C
5013628,-54,0
5013628,-51,0
5013628,-41,0
5013628,-33,0
5013628,-29,0
5013628,-28,C
5013628,-23,C
5013628,-11,X
5013628,-10,C
5013628,-9,0
5013628,-8,C
5013628,-6,C
5013628,-1,C
5013628,0,C
5012783,-60,C
5012783,-58,C
5012783,-54,C
5012783,-52,C
5012783,-51,C
5012783,-50,C
5012783,-49,0
5012783,-48,0
5012783,-47,0
5012783,-46,C
5012783,-43,0
5012783,-41,C
5012783,-40,C
5012783,-39,0
5012783,-38,0
5012783,-37,0
5012783,-35,0
5012783,-31,0
5012783,-30,0
5012783,-23,X
5012783,-22,0
5012783,-21,C
5012783,-20,C
5012783,-19,0
5012783,-17,X
5012783,-14,0
5012783,-13,X
5012783,-12,C
5012783,-11,0
5012783,-9,0
5012783,-7,X
5012783,-6,X
5012783,-5,C
5012783,-4,0
5012783,-3,C
5012783,-2,0
5013462,-58,0
5013462,-54,C
5013462,-44,0
5013462,-36,X
5013462,-34,C
